author,published,title,subtitle,url
,,Hivatalosan is átadták a Vaskupola magyar lokátorát,Több mint ezer célpontot tudnak követni ezek a lokátorok.,https://index.hu/belfold/2024/06/08/magyar-honvedseg-vaskupola-veszprem-lokator/
,,"Ukrajna döntést hozott, hamarosan új átkelő nyílhat az ukrán–magyar határon",Többéves huzavona végére kerülhet pont.,https://index.hu/kulfold/2024/06/08/ukrajna-denisz-smihal-miniszterelnok-magyarorszag-lengyelorszag-hatarmenti-infrastruktura-fejlesztes-moldova-szlovakia/
,,Ökölvívásban ezt kiütésnek hívják: Swiatek elképesztő fölénnyel nyerte meg a Garrost,Az olasz Paolini mindössze három játékot tudott nyerni a mérkőzésen.,https://index.hu/sport/tenisz/2024/06/08/roland-garros-2024-noi-egyes-donto-iga-swiatek-jasmine-paolini-helyszini-osszefoglalo/
,,Több mint 100 ezerrel nőtt a nemzetiségi választópolgárok száma tíz év alatt,A legtöbben a roma nemzetiség névjegyzékébe regisztráltak.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/nemzeti-valasztasi-iroda-nemzetisegi-valasztok-szamanak-novekedese-100-ezer-fo/
,,Még a börtönökben is szavaznak vasárnap,"Az antifa támadások vádlottja azt állította, megtiltották, hogy leadja a voksát, reagált a parancsnokság.",https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/bvop-valasztas-borton-ilaria-salis/
,,A Premier League korábbi legendás támadója ülhet le a Ferencváros kispadjára,Saját maga kérte szerződése felbontását klubjánál.,https://index.hu/sport/futball/2024/06/08/robbie-keane-maccabi-tel-aviv-ferencvaros-sajtoertesules-vezetoedzo/
,,"Meghalt a Star Trek, a Halálos fegyver 3. és a Dupla dinamit színésze",„Nagyszerű klasszikus színész akartam lenni” – mondta Alan Scarfe.,https://index.hu/kultur/2024/06/08/halal-szinesz-alan-scarfe-halalos-fegyver-dupla-dinamit-film-meghalt-star-trek/
,,Alföldi Róbert gusztustalannak nevezte Szentkirályi Alexandra visszalépését,A Jászai Mari-díjas színész nem fogta vissza a véleményét.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/alfoldi-robert-szentkiralyi-alexandra-fidesz-vitezy-david/
,,Új fotót posztolt Robert Fico: a szlovák kormányfő a kórházban adta le szavazatát,"Szerinte olyan képviselőkre kell szavazni, akik nem a háborút, hanem a békét támogatják.",https://index.hu/kulfold/2024/06/08/robert-fico-europai-parlamenti-valsztas-szlovakia-korhaz-facebook-poszt/
,,"Álommelót hirdetett az IKEA, mostantól videójátékban is dolgozhatnak nekik",A virtuális hot dog és húsgolyó kiszolgálásáért is tisztességes fizetés jár.,https://index.hu/fomo/2024/06/08/ikea-roblox-videojatek-munka-aruhaz-husgolyo-hot-dog/
,,Toroczkai László: Ebben a harcban először Budapest fog elbukni,A Mi Hazánk egy új európai tömörülést szeretne létrehozni.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/toroczkai-laszlo-mi-hazank-kampany-budapest/
,,Megfosztják kinevezésétől a bántalmazó rappert,"„Undorodtam, amikor megtettem. Most is undorodom"" – mondta.",https://index.hu/kultur/2024/06/08/sean-p-diddy-combs-tiszteletbeli-diploma-howard-egyetem-botrany-eroszak-megfosztas/
,,"Annyira öregszik társadalmunk, hogy egyre inkább függ a munkaerőpiac az idősebbektől",Folyamatosan erősödik a munkaerőhiány.,https://index.hu/gazdasag/geocompass/2024/06/08/munkaeropiac-foglalkoztatas-munkavallalas-idosek-idosek-foglalkoztatasa/
,,Minden kampányeseményét lemondta a megtámadott dán kormányfő,"Könnyebb sérüléseket szerzett, de jól van a dán miniszterelnök.",https://index.hu/kulfold/2024/06/08/dania-mette-frederiksen-tamadas-kampany-kampanyhajra-koppenhaga/
,,"Vitézy Dávid elmondta, hogy támogatja-e őt a kormány",Szerinte az utolsó napokban agresszívvá vált a kampány.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/vitezy-david-fopolgarmester-jelolt-varosfejlesztes-budapest-kampany/
,,A közvélemény-kutatók szerint ő lesz a következő főpolgármester,Mindössze pár százalékpont a különbség a két jelölt között.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/budapest-karacsony-gergely-vitezy-david-grundtner-andras-publicus-intezet-nezopont-intezet-kozvelemeny-kutatas/
,,"Besenyei Péter: Úgy hittem, a repülés a kiváltságos emberek tevékenysége","Elmondta, hogyan került életveszélyes szituációba korábban Kanadában.",https://index.hu/fomo/2024/06/08/besenyei-peter-pilota-murepules-nyugdij-aktiv-elet/
,,Így fog kinézni az emberi arc 20 ezer év múlva,Hacsak be nem avatkozunk.,https://index.hu/tudomany/til/2024/06/08/igy-fog-kinezni-az-emberi-arc-20-ezer-ev-mulva/
,,"Megsérült a lengyelek gólvágója, nélküle utaznak az Európa-bajnokságra",Az utolsó felkészülési mérkőzésen érte a baj.,https://index.hu/sport/futball/2024/eb/2024/06/08/europa-bajnoksag-2024-lengyel-valogatott-arkadiusz-milik-kerethirdetes/
Németh Márton Sándor,2024.06.08. 13:53,Magyar Péter: Többször hibáztam,"A Hősök terén egyre többen lesznek rosszul a nagy hőségben, a színpadról jelezték, hogy orvosra van szükség.",https://index.hu/belfold/2024/06/08/magyar-peter-valasztas-tisza-part-tuntetes-demonstracio/
,,Ezekben az órákban tetőzik a Duna Budapestnél,Az újabb esőzések a jelenlegi árhullám levonulását már nem befolyásolják.,https://index.hu/belfold/2024/06/08/arvizvedelmi-vedekezes-duna/
,,"Joe Biden szerint úgy kell harcolni a demokráciáért, mint a második világháborúban",Az amerikai elnök Normandiában tartott beszédet.,https://index.hu/kulfold/2024/06/08/egyesult-allamok-joe-biden-volodimir-zelenszkij-d-nap-masodik-vilaghaboru-normandia-beszed-ukrajnai-haboru/
,,"Kiszabadítottak négy, a zenei fesztiválról elhurcolt túszt a Gázai övezetből",Még így is többtucatnyit tart fogva a Hamász.,https://index.hu/kulfold/2024/06/08/izrael-hamasz-terrorszervezet-gazai-ovezet-foglyok-izraeli-vedelmi-erok-idf/
,,Ezen a településen érdeklődés hiányában elmarad az önkormányzati választás,Az egyetlen jelölt visszalépett.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/magyarorszag-bozsok-vas-varmegye-onkormanyzati-valasztas-nemzeti-valasztasi-iroda/
,,"Céline Dion olyan erős izomgörcsöktől szenvedett, hogy eltörtek a bordái",A stiff-person-szindrómában szenvedő énekesnő a diagnózis felállítása óta először adott tévéinterjút.,https://index.hu/kultur/2024/06/08/celine-dion-betegseg-enekesno-zene-muvesz-sztar/
,,"Ungár Péter: Márki-Zay Péter egy futóbolond, távozzon a közéletből!",A hódmezővásárhelyi polgármester szerint Vitézy Dávid egy „nyíltan meleg” polgármester.,https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/ungar-peter-lmp-marki-zay-peter-karacsony-gergely-vitezy-david-fopolgarmester-valasztas/
,,"Meg akarta ölni az osztálytársait, kést rántott tanóra közben egy általános iskolás Sajókazán","Tizenegy centiméter pengehosszúságú konyhakést vett elő, amit a nyelvén húzogatott.",https://index.hu/belfold/2024/06/08/iskola-fiatal-osztalytars-kes-fenyegetes-sajokaza-miskolc-miskolci-torvenyszek-tanar/
,,A hónap magyar asztrofotója: A nagy napfolt,A május eleji sarkifény-jelenséget előidéző napfoltcsoportról készült a kép.,https://index.hu/kultur/2024/06/08/a-honap-magyar-asztrofotoja-nagyfelbontasu-kep-napfoltcsoport/
,,"Orbán Viktor: Padlógáz, mert a tét hatalmas","A miniszterelnök kijelentette, hogy az egész országot mozgósítják.",https://index.hu/belfold/2024/onkormanyzati_valasztas/2024/06/08/orban-viktor-miniszterelnok-szolnok-kampany-korut/
,,"Minden idők legtöbb helyszínén, 99 országban adhatják le szavazataikat a magyarok",Összesen 21 458 állampolgár kíván külföldön szavazni.,https://index.hu/kulfold/ep/2024/valasztas/2024/06/08/kulkepviselet-szavazas-egyesult-allamok-szijjarto-peter/
,,Teljesen normális dolog megálmodni a jövőt,Alvás közben próbál a jövőbe látni az agy.,https://index.hu/techtud/2024/06/08/agy-alom-prekognicio-jovobelatas-agykutatas-patkany-idegsejt-gepi-tanulas/
