category,title,subtitle,url
Belföld,"A kormánysajtó kielemezte a vitát: Vitézy Dávid agyonverte és kiütötte Karácsony Gergelyt, aki lehajtott fejjel kapta az ívet",,/belfold/2024/06/01/kormanysajto-pesti-sracok-origo-magyar-nemzet-karacsony-vitezy-vita
Gazdaság,Elmarad és meg is szűnik a Genfi Autószalon,A világ legrégebb óta létező autókiállításának kimúlása a műfaj egészének válságát jelzi.,/gazdasag/2024/06/01/genf-autoszalon-autoipar-svajc-autokiallitas-villanyauto
Kult,"„Ne bámulj bambán, ha esik az eső” – Tompos Kátya halálára","Alföldi Róbert nekrológjában a szövetségesének nevezte a 41 éves korában meghalt színésznőt, Hrutka Róbert pedig azt írta, „soha nem volt ilyen hangos a csend”.",/kult/2024/05/31/tompos-katya-meghalt-nekorolog-enekes-nemzeti-szinhaz-csehov-hrutka-alfoldi-valami-amerika-my-fair-lady
After,"Nem ér annyit két pezsgő a Halászbástyánál, hogy utána napokig magyarázkodni kelljen","Megérkezett hozzánk is a sekélyesnek ítélt influenszerek elleni Blockout mozgalom az állami pénzből futó rongyrázás miatt. Olaj volt a tűzre, hogy az egészet kirobbantó tartalomgyártó is Budapesten járt.",/after/2024/06/01/blockout-2024-magyar-influenszerek-tiltas
Belföld,Két héttel korábban virágzik a Tisza a Szeged alatti szakaszon,A napsütéses idő kedvezett a kérészek rajzásának.,/belfold/2024/06/01/keresz-viragzas-tisza-szeged-alatt
Gazdaság,Azahriah sikere már a mögötte álló cég pénzügyeiben is látszik,A Dzsúdlót és a Wellhellót is képviselő Supermanagementnél látványosan megnőttek a bevételek 2023-ban. A hazai zeneiparban több meghatározó szereplő is nagy bevételnövekedést könyvelhetett el.,/gazdasag/2024/06/01/supermanagement-gold-record-live-nation-magneoton-uzleti-eredmenyek
Belföld,"Kevés szakorvos, sok beteg, eszközhiány, alulfinanszírozottság – bajban a hazai urológiai ellátás",,/belfold/2024/06/01/urologia-ellatas-problemak-egeszsegugy-mok-korhaz-bezarasok-osszevonasok
Transtelex,Foglaltam két helyet a Nagyváradról Budapestre induló békemenetes kisbuszra,"Még zászlót is kap, aki elmegy felvonulni.",https://transtelex.ro/kozelet/2024/05/31/bekemenet-budapest-nagyvarad
Észkombájn,Milyen vezetéknevet használnak a brit királyi család tagjai? Egyáltalán van nekik olyan?,"Ha Harry herceg még nem királyi fenség, akkor mégis mi a vezetékneve? Egyszerűen az, hogy herceg? Honnan szerez vezetéknevet egy királyi család, amit aztán használhatnak a tagjai, mondjuk, akkor, amikor munkát vállalnak. Udvari névhatározó kisebb-nagyobb csavarokkal.",/eszkombajn/2021/03/25/harry-herceg-brit-kiralyi-csalad-vezeteknev
Észkombájn,"45 évet kellett rá várni, de lezárult az első konzolháború","Az Atari már a hetvenes évek végére lenyomta akkori riválisát, de egy váratlan és elsőre nehezen érthető döntéssel csak 2024-ben tettek pontot a történet végére.",/eszkombajn/2024/06/01/atari-intellivision-konzolhaboru
Külföld,"Egy titkos orosz kör behálózta a szomszédunkat, de ránk is hatással lehet","Egy adrenalinfüggő kalandor, korrupt titkosszolgák és egy oroszbarát párt elég volt ahhoz, hogy az oroszok akkora zavart okozzanak Ausztriában, ami Európa biztonságára is kihathat.",/kulfold/2024/05/31/titkos-orosz-halozat-ausztria-fpo-marsalek-weiss-ott-titkosszolgalat-kemek-hirszerzes-szabadsagpart-kreml
Belföld,"„Megkérdezhetem, hogy ki adta önnek?” – bűncselekménnyel vádolja Szijjártó az őt számonkérő újságírót. De igaza van?","Szijjártó két héten belül kétszer is bűncselekménnyel vádolta meg az újságírót, aki megkérdezte, hogy miért hazudtak 2022-ben a külügyet ért orosz hekkertámadásról. Jogász segítségével jártunk utána.",/belfold/2024/05/31/hekkertamadas-ujsagiro-leveltitok-buncselekmeny-szijjarto-peter
Sport,Tovább dagad a L'amour toujours című sláger idegengyűlölő átköltésével kapcsolatos botrány,,/sport/2024/05/31/tovabb-dagad-a-lamour-toujours-cimu-slager-idegengyulolo-atkoltesevel-kapcsolatos-botrany
Külföld,"Hirtelen áradt meg egy olaszországi folyó, elsodort a mederből három összekapaszkodó fiatalt",,/kulfold/2024/06/01/olaszorszag-folyo-aradas-harom-fiatal-elsodort
Gazdaság,Összezuhant tavaly Rákay Philip tanácsadó vállalkozása,,/gazdasag/2024/06/01/rakay-philip-norton-consulting-2023-beszamolo-toredekere-esett-a-bevetel-es-a-profit-egy-ev-alatt
Telextárcák,Szántó T. Gábor: Tiltott zene,"„Hálás volt Bubinak, hogy ideküldte a világ végére, hogy megismerkedhetett Sanyi bácsival, pedig a jazzt az Arany Csillag bárjában sem nézték el, az öreg figyelmeztette erre.” Egy fiatal zongorista és az 50-es évek sztálinvárosi éjszakai élete a Telextárcák e heti novellájában.",/telextarcak/2024/06/01/szanto-t-gabor-tiltott-zene-tarcanovella-irodalom
Belföld,"Heten sérültek meg egy balesetben Törökszentmiklósnál, a helyszínre mentőhelikoptert kellett hívni",,/belfold/2024/06/01/baleset-kozlekedes-teherauto-kisbusz-auto-torokszentmiklos
Sport,"Megverték az Esbjerget, BL-döntőt játszhatnak a Győr kézisei",,/sport/2024/06/01/gyor-esbjerg-noi-kezilabda-bajnokok-ligaja
Zacc,A pótlóbuszt pótló busz volt a MÁV szombati kalandjainak főszereplője,,/zacc/2024/06/01/a-potlobuszt-potlo-busz-volt-a-mav-szombati-kalandjainak-foszereploje
Zacc,Csirkés szendvics és shake is lesz a Szoboszlai kedvenceiből összerakott McDonald's-menüben,,/zacc/2024/06/01/szoboszlai-menu-mcdonalds-mccrispy-csirkes-szendvics-krumpli-vanilia-shake-chilis-majonez-futball-eb
Zacc,Valakik városnéző buszról metszettek fákat a rakparton,,/zacc/2024/05/31/turistabusz-hop-on-hop-off-fametszes
Zacc,Orosz tankba ültethette a CÖF a háborúpártinak mondott ellenzékieket,,/zacc/2024/05/30/cof-plakat-haboru-orosz-tank
